og_#,#,,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp.Def,Speed
b'140 KabutoRock Water 355 30 80 90 55 45 55',142 AerodactylRock Flying 515 80 105 65 60 75 130,,,,,,,140 ,,,
b'141 KabutopsRock Water 495 60 115 105 65 70 80',142 Mega Aerodactyl Rock Flying 615 80 135 85 70 95 150,,,,,,,141 ,,,
b'142 AerodactylRock Flying 515 80 105 65 60 75 130',143 SnorlaxNormal  540 160 110 65 65 110 30,,,,,,,142 ,,,
b'142 Mega Aerodactyl Rock Flying 615 80 135 85 70 95 150',144 Articuno Galarian ArticunoPsychic Flying 580 90 85 85 125 100 95,,,,,,,142 ,,,
b'143 SnorlaxNormal  540 160 110 65 65 110 30',144 ArticunoIce Flying 580 90 85 100 95 125 85,,,,,,,143 ,,,
b'144 Articuno Galarian ArticunoPsychic Flying 580 90 85 85 125 100 95',145 Zapdos Galarian ZapdosFighting Flying 580 90 125 90 85 90 100,,,,,,,144 ,,,
b'144 ArticunoIce Flying 580 90 85 100 95 125 85',145 ZapdosElectric Flying 580 90 90 85 125 90 100,,,,,,,144 ,,,
b'145 Zapdos Galarian ZapdosFighting Flying 580 90 125 90 85 90 100',146 Moltres Galarian MoltresDark Flying 580 90 85 90 100 125 90,,,,,,,145 ,,,
b'145 ZapdosElectric Flying 580 90 90 85 125 90 100',146 MoltresFire Flying 580 90 100 90 125 85 90,,,,,,,145 ,,,
b'146 Moltres Galarian MoltresDark Flying 580 90 85 90 100 125 90',147 DratiniDragon  300 41 64 45 50 50 50,,,,,,,146 ,,,
b'146 MoltresFire Flying 580 90 100 90 125 85 90',148 DragonairDragon  420 61 84 65 70 70 70,,,,,,,146 ,,,
b'147 DratiniDragon  300 41 64 45 50 50 50',149 DragoniteDragon Flying 600 91 134 95 100 100 80,,,,,,,147 ,,,
b'148 DragonairDragon  420 61 84 65 70 70 70',150 Mega Mewtwo X Psychic Fighting 780 106 190 100 154 100 130,,,,,,,148 ,,,
b'149 DragoniteDragon Flying 600 91 134 95 100 100 80',150 Mega Mewtwo Y Psychic  780 106 150 70 194 120 140,,,,,,,149 ,,,
b'150 Mega Mewtwo X Psychic Fighting 780 106 190 100 154 100 130',150 MewtwoPsychic  680 106 110 90 154 90 130,,,,,,,150 ,,,
b'150 Mega Mewtwo Y Psychic  780 106 150 70 194 120 140',151 MewPsychic  600 100 100 100 100 100 100,,,,,,,150 ,,,
b'150 MewtwoPsychic  680 106 110 90 154 90 130',152 ChikoritaGrass  318 45 49 65 49 65 45,,,,,,,150 ,,,
b'151 MewPsychic  600 100 100 100 100 100 100',153 BayleefGrass  405 60 62 80 63 80 60,,,,,,,151 ,,,
b'152 ChikoritaGrass  318 45 49 65 49 65 45',154 Meganium Grass  525 80 82 100 83 100 80,,,,,,,152 ,,,
b'153 BayleefGrass  405 60 62 80 63 80 60',155 CyndaquilFire  309 39 52 43 60 50 65,,,,,,,153 ,,,
b'154 Meganium Grass  525 80 82 100 83 100 80',156 QuilavaFire  405 58 64 58 80 65 80,,,,,,,154 ,,,
b'155 CyndaquilFire  309 39 52 43 60 50 65',157 Typhlosion Hisuian TyphlosionFire Ghost 534 73 84 78 119 85 95,,,,,,,155 ,,,
b'156 QuilavaFire  405 58 64 58 80 65 80',157 TyphlosionFire  534 78 84 78 109 85 100,,,,,,,156 ,,,
b'157 Typhlosion Hisuian TyphlosionFire Ghost 534 73 84 78 119 85 95',158 TotodileWater  314 50 65 64 44 48 43,,,,,,,157 ,,,
b'157 TyphlosionFire  534 78 84 78 109 85 100',159 CroconawWater  405 65 80 80 59 63 58,,,,,,,157 ,,,
b'158 TotodileWater  314 50 65 64 44 48 43',160 FeraligatrWater  530 85 105 100 79 83 78,,,,,,,158 ,,,
b'159 CroconawWater  405 65 80 80 59 63 58',161 SentretNormal  215 35 46 34 35 45 20,,,,,,,159 ,,,
b'160 FeraligatrWater  530 85 105 100 79 83 78',162 FurretNormal  415 85 76 64 45 55 90,,,,,,,160 ,,,
b'161 SentretNormal  215 35 46 34 35 45 20',163 HoothootNormal Flying 262 60 30 30 36 56 50,,,,,,,161 ,,,
b'162 FurretNormal  415 85 76 64 45 55 90',164 NoctowlNormal Flying 452 100 50 50 86 96 70,,,,,,,162 ,,,
b'163 HoothootNormal Flying 262 60 30 30 36 56 50',165 LedybaBug Flying 265 40 20 30 40 80 55,,,,,,,163 ,,,
b'164 NoctowlNormal Flying 452 100 50 50 86 96 70',166 LedianBug Flying 390 55 35 50 55 110 85,,,,,,,164 ,,,
b'165 LedybaBug Flying 265 40 20 30 40 80 55',167 SpinarakBug Poison 250 40 60 40 40 40 30,,,,,,,165 ,,,
b'166 LedianBug Flying 390 55 35 50 55 110 85',168 AriadosBug Poison 400 70 90 70 60 70 40,,,,,,,166 ,,,
b'167 SpinarakBug Poison 250 40 60 40 40 40 30',169 CrobatPoison Flying 535 85 90 80 70 80 130,,,,,,,167 ,,,
b'168 AriadosBug Poison 400 70 90 70 60 70 40',170 ChinchouWater Electric 330 75 38 38 56 56 67,,,,,,,168 ,,,
b'169 CrobatPoison Flying 535 85 90 80 70 80 130',171 LanturnWater Electric 460 125 58 58 76 76 67,,,,,,,169 ,,,
b'170 ChinchouWater Electric 330 75 38 38 56 56 67',172 PichuElectric  205 20 40 15 35 35 60,,,,,,,170 ,,,
b'171 LanturnWater Electric 460 125 58 58 76 76 67',173 CleffaFairy  218 50 25 28 45 55 15,,,,,,,171 ,,,
b'172 PichuElectric  205 20 40 15 35 35 60',174 IgglybuffNormal Fairy 210 90 30 15 40 20 15,,,,,,,172 ,,,
b'173 CleffaFairy  218 50 25 28 45 55 15',175 TogepiFairy  245 35 20 65 40 65 20,,,,,,,173 ,,,
b'174 IgglybuffNormal Fairy 210 90 30 15 40 20 15',176 TogeticFairy Flying 405 55 40 85 80 105 40,,,,,,,174 ,,,
b'175 TogepiFairy  245 35 20 65 40 65 20',177 NatuPsychic Flying 320 40 50 45 70 45 70,,,,,,,175 ,,,
b'176 TogeticFairy Flying 405 55 40 85 80 105 40',178 XatuPsychic Flying 470 65 75 70 95 70 95,,,,,,,176 ,,,
b'177 NatuPsychic Flying 320 40 50 45 70 45 70',179 MareepElectric  280 55 40 40 65 45 35,,,,,,,177 ,,,
b'178 XatuPsychic Flying 470 65 75 70 95 70 95',180 FlaaffyElectric  365 70 55 55 80 60 45,,,,,,,178 ,,,
b'179 MareepElectric  280 55 40 40 65 45 35',181 AmpharosElectric  510 90 75 85 115 90 55,,,,,,,179 ,,,
b'180 FlaaffyElectric  365 70 55 55 80 60 45',181 Mega Ampharos Electric Dragon 610 90 95 105 165 110 45,,,,,,,180 ,,,
b'181 AmpharosElectric  510 90 75 85 115 90 55',182 BellossomGrass  490 75 80 95 90 100 50,,,,,,,181 ,,,
b'181 Mega Ampharos Electric Dragon 610 90 95 105 165 110 45',183 MarillWater Fairy 250 70 20 50 20 50 40,,,,,,,181 ,,,
b'182 BellossomGrass  490 75 80 95 90 100 50',184 AzumarillWater Fairy 420 100 50 80 60 80 50,,,,,,,182 ,,,
b'183 MarillWater Fairy 250 70 20 50 20 50 40',185 SudowoodoRock  410 70 100 115 30 65 30,,,,,,,183 ,,,
b'184 AzumarillWater Fairy 420 100 50 80 60 80 50',186 PolitoedWater  500 90 75 75 90 100 70,,,,,,,184 ,,,
b'185 SudowoodoRock  410 70 100 115 30 65 30',187 HoppipGrass Flying 250 35 35 40 35 55 50,,,,,,,185 ,,,
b'186 PolitoedWater  500 90 75 75 90 100 70',188 SkiploomGrass Flying 340 55 45 50 45 65 80,,,,,,,186 ,,,
b'187 HoppipGrass Flying 250 35 35 40 35 55 50',189 JumpluffGrass Flying 460 75 55 70 55 95 110,,,,,,,187 ,,,
b'188 SkiploomGrass Flying 340 55 45 50 45 65 80',190 AipomNormal  360 55 70 55 40 55 85,,,,,,,188 ,,,
b'189 JumpluffGrass Flying 460 75 55 70 55 95 110',191 SunkernGrass  180 30 30 30 30 30 30,,,,,,,189 ,,,
b'190 AipomNormal  360 55 70 55 40 55 85',192 SunfloraGrass  425 75 75 55 105 85 30,,,,,,,190 ,,,
b'191 SunkernGrass  180 30 30 30 30 30 30',193 YanmaBug Flying 390 65 65 45 75 45 95,,,,,,,191 ,,,
b'192 SunfloraGrass  425 75 75 55 105 85 30',194 Wooper Paldean WooperPoison Ground 210 55 45 45 25 25 15,,,,,,,192 ,,,
b'193 YanmaBug Flying 390 65 65 45 75 45 95',194 WooperWater Ground 210 55 45 45 25 25 15,,,,,,,193 ,,,
b'194 Wooper Paldean WooperPoison Ground 210 55 45 45 25 25 15',195 QuagsireWater Ground 430 95 85 85 65 65 35,,,,,,,194 ,,,
b'194 WooperWater Ground 210 55 45 45 25 25 15',196 EspeonPsychic  525 65 65 60 130 95 110,,,,,,,194 ,,,
b'195 QuagsireWater Ground 430 95 85 85 65 65 35',197 UmbreonDark  525 95 65 110 60 130 65,,,,,,,195 ,,,
b'196 EspeonPsychic  525 65 65 60 130 95 110',198 MurkrowDark Flying 405 60 85 42 85 42 91,,,,,,,196 ,,,
b'197 UmbreonDark  525 95 65 110 60 130 65',199 Slowking Galarian SlowkingPoison Psychic 490 95 65 80 110 110 30,,,,,,,197 ,,,
b'198 MurkrowDark Flying 405 60 85 42 85 42 91',199 SlowkingWater Psychic 490 95 75 80 100 110 30,,,,,,,198 ,,,
b'199 Slowking Galarian SlowkingPoison Psychic 490 95 65 80 110 110 30',200 MisdreavusGhost  435 60 60 60 85 85 85,,,,,,,199 ,,,
b'199 SlowkingWater Psychic 490 95 75 80 100 110 30',201 UnownPsychic  336 48 72 48 72 48 48,,,,,,,199 ,,,
b'200 MisdreavusGhost  435 60 60 60 85 85 85',202 WobbuffetPsychic  405 190 33 58 33 58 33,,,,,,,200 ,,,
b'201 UnownPsychic  336 48 72 48 72 48 48',203 GirafarigNormal Psychic 455 70 80 65 90 65 85,,,,,,,201 ,,,
b'202 WobbuffetPsychic  405 190 33 58 33 58 33',204 PinecoBug  290 50 65 90 35 35 15,,,,,,,202 ,,,
b'203 GirafarigNormal Psychic 455 70 80 65 90 65 85',205 ForretressBug Steel 465 75 90 140 60 60 40,,,,,,,203 ,,,
b'204 PinecoBug  290 50 65 90 35 35 15',206 DunsparceNormal  415 100 70 70 65 65 45,,,,,,,204 ,,,
b'205 ForretressBug Steel 465 75 90 140 60 60 40',207 GligarGround Flying 430 65 75 105 35 65 85,,,,,,,205 ,,,
b'206 DunsparceNormal  415 100 70 70 65 65 45',208 Mega Steelix Steel Ground 610 75 125 230 55 95 30,,,,,,,206 ,,,
b'207 GligarGround Flying 430 65 75 105 35 65 85',208 SteelixSteel Ground 510 75 85 200 55 65 30,,,,,,,207 ,,,
b'208 Mega Steelix Steel Ground 610 75 125 230 55 95 30',209 SnubbullFairy  300 60 80 50 40 40 30,,,,,,,208 ,,,
b'208 SteelixSteel Ground 510 75 85 200 55 65 30',210 GranbullFairy  450 90 120 75 60 60 45,,,,,,,208 ,,,
b'209 SnubbullFairy  300 60 80 50 40 40 30',211 Qwilfish Hisuian QwilfishDark Poison 440 65 95 85 55 55 85,,,,,,,209 ,,,
b'210 GranbullFairy  450 90 120 75 60 60 45',211 QwilfishWater Poison 440 65 95 85 55 55 85,,,,,,,210 ,,,
b'211 Qwilfish Hisuian QwilfishDark Poison 440 65 95 85 55 55 85',212 Mega Scizor Bug Steel 600 70 150 140 65 100 75,,,,,,,211 ,,,
b'211 QwilfishWater Poison 440 65 95 85 55 55 85',212 ScizorBug Steel 500 70 130 100 55 80 65,,,,,,,211 ,,,
b'212 Mega Scizor Bug Steel 600 70 150 140 65 100 75',213 ShuckleBug Rock 505 20 10 230 10 230 5,,,,,,,212 ,,,
b'212 ScizorBug Steel 500 70 130 100 55 80 65',214 HeracrossBug Fighting 500 80 125 75 40 95 85,,,,,,,212 ,,,
b'213 ShuckleBug Rock 505 20 10 230 10 230 5',214 Mega Heracross Bug Fighting 600 80 185 115 40 105 75,,,,,,,213 ,,,
b'214 HeracrossBug Fighting 500 80 125 75 40 95 85',215 Sneasel Hisuian SneaselFighting Poison 430 55 95 55 35 75 115,,,,,,,214 ,,,
b'214 Mega Heracross Bug Fighting 600 80 185 115 40 105 75',215 SneaselDark Ice 430 55 95 55 35 75 115,,,,,,,214 ,,,
b'215 Sneasel Hisuian SneaselFighting Poison 430 55 95 55 35 75 115',216 TeddiursaNormal  330 60 80 50 50 50 40,,,,,,,215 ,,,
b'215 SneaselDark Ice 430 55 95 55 35 75 115',217 UrsaringNormal  500 90 130 75 75 75 55,,,,,,,215 ,,,
b'216 TeddiursaNormal  330 60 80 50 50 50 40',218 SlugmaFire  250 40 40 40 70 40 20,,,,,,,216 ,,,
b'217 UrsaringNormal  500 90 130 75 75 75 55',219 MagcargoFire Rock 430 60 50 120 90 80 30,,,,,,,217 ,,,
b'218 SlugmaFire  250 40 40 40 70 40 20',220 SwinubIce Ground 250 50 50 40 30 30 50,,,,,,,218 ,,,
b'219 MagcargoFire Rock 430 60 50 120 90 80 30',221 PiloswineIce Ground 450 100 100 80 60 60 50,,,,,,,219 ,,,
b'220 SwinubIce Ground 250 50 50 40 30 30 50',222 Corsola Galarian CorsolaGhost  410 60 55 100 65 100 30,,,,,,,220 ,,,
b'221 PiloswineIce Ground 450 100 100 80 60 60 50',222 CorsolaWater Rock 410 65 55 95 65 95 35,,,,,,,221 ,,,
b'222 Corsola Galarian CorsolaGhost  410 60 55 100 65 100 30',223 RemoraidWater  300 35 65 35 65 35 65,,,,,,,222 ,,,
b'222 CorsolaWater Rock 410 65 55 95 65 95 35',224 OctilleryWater  480 75 105 75 105 75 45,,,,,,,222 ,,,
b'223 RemoraidWater  300 35 65 35 65 35 65',225 DelibirdIce Flying 330 45 55 45 65 45 75,,,,,,,223 ,,,
b'224 OctilleryWater  480 75 105 75 105 75 45',226 MantineWater Flying 485 85 40 70 80 140 70,,,,,,,224 ,,,
b'225 DelibirdIce Flying 330 45 55 45 65 45 75',227 SkarmorySteel Flying 465 65 80 140 40 70 70,,,,,,,225 ,,,
b'226 MantineWater Flying 485 85 40 70 80 140 70',228 HoundourDark Fire 330 45 60 30 80 50 65,,,,,,,226 ,,,
b'227 SkarmorySteel Flying 465 65 80 140 40 70 70',229 HoundoomDark Fire 500 75 90 50 110 80 95,,,,,,,227 ,,,
b'228 HoundourDark Fire 330 45 60 30 80 50 65',229 Mega Houndoom Dark Fire 600 75 90 90 140 90 115,,,,,,,228 ,,,
b'229 HoundoomDark Fire 500 75 90 50 110 80 95',230 KingdraWater Dragon 540 75 95 95 95 95 85,,,,,,,229 ,,,
b'229 Mega Houndoom Dark Fire 600 75 90 90 140 90 115',231 PhanpyGround  330 90 60 60 40 40 40,,,,,,,229 ,,,
b'230 KingdraWater Dragon 540 75 95 95 95 95 85',232 DonphanGround  500 90 120 120 60 60 50,,,,,,,230 ,,,
b'231 PhanpyGround  330 90 60 60 40 40 40',233 Porygon2Normal  515 85 80 90 105 95 60,,,,,,,231 ,,,
b'232 DonphanGround  500 90 120 120 60 60 50',234 StantlerNormal  465 73 95 62 85 65 85,,,,,,,232 ,,,
b'233 Porygon2Normal  515 85 80 90 105 95 60',235 SmeargleNormal  250 55 20 35 20 45 75,,,,,,,233 ,,,
b'234 StantlerNormal  465 73 95 62 85 65 85',236 TyrogueFighting  210 35 35 35 35 35 35,,,,,,,234 ,,,
b'235 SmeargleNormal  250 55 20 35 20 45 75',237 HitmontopFighting  455 50 95 95 35 110 70,,,,,,,235 ,,,
b'236 TyrogueFighting  210 35 35 35 35 35 35',238 SmoochumIce Psychic 305 45 30 15 85 65 65,,,,,,,236 ,,,
b'237 HitmontopFighting  455 50 95 95 35 110 70',239 ElekidElectric  360 45 63 37 65 55 95,,,,,,,237 ,,,
b'238 SmoochumIce Psychic 305 45 30 15 85 65 65',240 MagbyFire  365 45 75 37 70 55 83,,,,,,,238 ,,,
b'239 ElekidElectric  360 45 63 37 65 55 95',241 MiltankNormal  490 95 80 105 40 70 100,,,,,,,239 ,,,
b'240 MagbyFire  365 45 75 37 70 55 83',242 BlisseyNormal  540 255 10 10 75 135 55,,,,,,,240 ,,,
b'241 MiltankNormal  490 95 80 105 40 70 100',243 RaikouElectric  580 90 85 75 115 100 115,,,,,,,241 ,,,
b'242 BlisseyNormal  540 255 10 10 75 135 55',244 EnteiFire  580 115 115 85 90 75 100,,,,,,,242 ,,,
b'243 RaikouElectric  580 90 85 75 115 100 115',245 SuicuneWater  580 100 75 115 90 115 85,,,,,,,243 ,,,
b'244 EnteiFire  580 115 115 85 90 75 100',246 LarvitarRock Ground 300 50 64 50 45 50 41,,,,,,,244 ,,,
b'245 SuicuneWater  580 100 75 115 90 115 85',247 PupitarRock Ground 410 70 84 70 65 70 51,,,,,,,245 ,,,
b'246 LarvitarRock Ground 300 50 64 50 45 50 41',248 Mega Tyranitar Rock Dark 700 100 164 150 95 120 71,,,,,,,246 ,,,
b'247 PupitarRock Ground 410 70 84 70 65 70 51',248 TyranitarRock Dark 600 100 134 110 95 100 61,,,,,,,247 ,,,
b'248 Mega Tyranitar Rock Dark 700 100 164 150 95 120 71',249 LugiaPsychic Flying 680 106 90 130 90 154 110,,,,,,,248 ,,,
b'248 TyranitarRock Dark 600 100 134 110 95 100 61',250 Ho-ohFire Flying 680 106 130 90 110 154 90,,,,,,,248 ,,,
b'249 LugiaPsychic Flying 680 106 90 130 90 154 110',251 CelebiPsychic Grass 600 100 100 100 100 100 100,,,,,,,249 ,,,
b'250 Ho-ohFire Flying 680 106 130 90 110 154 90',252 TreeckoGrass  310 40 45 35 65 55 70,,,,,,,250 ,,,
b'251 CelebiPsychic Grass 600 100 100 100 100 100 100',253 GrovyleGrass  405 50 65 45 85 65 95,,,,,,,251 ,,,
b'252 TreeckoGrass  310 40 45 35 65 55 70',254 Mega Sceptile Grass Dragon 630 70 110 75 145 85 145,,,,,,,252 ,,,
b'253 GrovyleGrass  405 50 65 45 85 65 95',254 SceptileGrass  530 70 85 65 105 85 120,,,,,,,253 ,,,
b'254 Mega Sceptile Grass Dragon 630 70 110 75 145 85 145',255 TorchicFire  310 45 60 40 70 50 45,,,,,,,254 ,,,
b'254 SceptileGrass  530 70 85 65 105 85 120',256 CombuskenFire Fighting 405 60 85 60 85 60 55,,,,,,,254 ,,,
b'255 TorchicFire  310 45 60 40 70 50 45',257 BlazikenFire Fighting 530 80 120 70 110 70 80,,,,,,,255 ,,,
b'256 CombuskenFire Fighting 405 60 85 60 85 60 55',257 Mega Blaziken Fire Fighting 630 80 160 80 130 80 100,,,,,,,256 ,,,
b'257 BlazikenFire Fighting 530 80 120 70 110 70 80',258 MudkipWater  310 50 70 50 50 50 40,,,,,,,257 ,,,
b'257 Mega Blaziken Fire Fighting 630 80 160 80 130 80 100',259 MarshtompWater Ground 405 70 85 70 60 70 50,,,,,,,257 ,,,
b'258 MudkipWater  310 50 70 50 50 50 40',260 Mega Swampert Water Ground 635 100 150 110 95 110 70,,,,,,,258 ,,,
b'259 MarshtompWater Ground 405 70 85 70 60 70 50',260 SwampertWater Ground 535 100 110 90 85 90 60,,,,,,,259 ,,,
b'260 Mega Swampert Water Ground 635 100 150 110 95 110 70',261 PoochyenaDark  220 35 55 35 30 30 35,,,,,,,260 ,,,
b'260 SwampertWater Ground 535 100 110 90 85 90 60',262 MightyenaDark  420 70 90 70 60 60 70,,,,,,,260 ,,,
b'261 PoochyenaDark  220 35 55 35 30 30 35',263 Zigzagoon Galarian ZigzagoonDark Normal 240 38 30 41 30 41 60,,,,,,,261 ,,,
b'262 MightyenaDark  420 70 90 70 60 60 70',263 ZigzagoonNormal  240 38 30 41 30 41 60,,,,,,,262 ,,,
b'263 Zigzagoon Galarian ZigzagoonDark Normal 240 38 30 41 30 41 60',264 Linoone Galarian LinooneDark Normal 420 78 70 61 50 61 100,,,,,,,263 ,,,
b'263 ZigzagoonNormal  240 38 30 41 30 41 60',264 LinooneNormal  420 78 70 61 50 61 100,,,,,,,263 ,,,
b'264 Linoone Galarian LinooneDark Normal 420 78 70 61 50 61 100',265 WurmpleBug  195 45 45 35 20 30 20,,,,,,,264 ,,,
b'264 LinooneNormal  420 78 70 61 50 61 100',266 SilcoonBug  205 50 35 55 25 25 15,,,,,,,264 ,,,
b'265 WurmpleBug  195 45 45 35 20 30 20',267 BeautiflyBug Flying 395 60 70 50 100 50 65,,,,,,,265 ,,,
b'266 SilcoonBug  205 50 35 55 25 25 15',268 CascoonBug  205 50 35 55 25 25 15,,,,,,,266 ,,,
b'267 BeautiflyBug Flying 395 60 70 50 100 50 65',269 DustoxBug Poison 385 60 50 70 50 90 65,,,,,,,267 ,,,
b'268 CascoonBug  205 50 35 55 25 25 15',270 LotadWater Grass 220 40 30 30 40 50 30,,,,,,,268 ,,,
b'269 DustoxBug Poison 385 60 50 70 50 90 65',271 LombreWater Grass 340 60 50 50 60 70 50,,,,,,,269 ,,,
b'270 LotadWater Grass 220 40 30 30 40 50 30',272 LudicoloWater Grass 480 80 70 70 90 100 70,,,,,,,270 ,,,
b'271 LombreWater Grass 340 60 50 50 60 70 50',273 SeedotGrass  220 40 40 50 30 30 30,,,,,,,271 ,,,
b'272 LudicoloWater Grass 480 80 70 70 90 100 70',274 NuzleafGrass Dark 340 70 70 40 60 40 60,,,,,,,272 ,,,
b'273 SeedotGrass  220 40 40 50 30 30 30',275 ShiftryGrass Dark 480 90 100 60 90 60 80,,,,,,,273 ,,,
b'274 NuzleafGrass Dark 340 70 70 40 60 40 60',276 TaillowNormal Flying 270 40 55 30 30 30 85,,,,,,,274 ,,,
b'275 ShiftryGrass Dark 480 90 100 60 90 60 80',277 SwellowNormal Flying 455 60 85 60 75 50 125,,,,,,,275 ,,,
b'276 TaillowNormal Flying 270 40 55 30 30 30 85',278 WingullWater Flying 270 40 30 30 55 30 85,,,,,,,276 ,,,
b'277 SwellowNormal Flying 455 60 85 60 75 50 125',279 PelipperWater Flying 440 60 50 100 95 70 65,,,,,,,277 ,,,
b'278 WingullWater Flying 270 40 30 30 55 30 85',280 RaltsPsychic Fairy 198 28 25 25 45 35 40,,,,,,,278 ,,,
b'279 PelipperWater Flying 440 60 50 100 95 70 65',281 KirliaPsychic Fairy 278 38 35 35 65 55 50,,,,,,,279 ,,,
b'280 RaltsPsychic Fairy 198 28 25 25 45 35 40',282 GardevoirPsychic Fairy 518 68 65 65 125 115 80,,,,,,,280 ,,,
b'281 KirliaPsychic Fairy 278 38 35 35 65 55 50',282 Mega Gardevoir Psychic Fairy 618 68 85 65 165 135 100,,,,,,,281 ,,,
b'282 GardevoirPsychic Fairy 518 68 65 65 125 115 80',283 SurskitBug Water 269 40 30 32 50 52 65,,,,,,,282 ,,,
b'282 Mega Gardevoir Psychic Fairy 618 68 85 65 165 135 100',284 MasquerainBug Flying 454 70 60 62 100 82 80,,,,,,,282 ,,,
b'283 SurskitBug Water 269 40 30 32 50 52 65',285 ShroomishGrass  295 60 40 60 40 60 35,,,,,,,283 ,,,
b'284 MasquerainBug Flying 454 70 60 62 100 82 80',286 BreloomGrass Fighting 460 60 130 80 60 60 70,,,,,,,284 ,,,
b'285 ShroomishGrass  295 60 40 60 40 60 35',287 SlakothNormal  280 60 60 60 35 35 30,,,,,,,285 ,,,
b'286 BreloomGrass Fighting 460 60 130 80 60 60 70',288 VigorothNormal  440 80 80 80 55 55 90,,,,,,,286 ,,,
b'287 SlakothNormal  280 60 60 60 35 35 30',289 SlakingNormal  670 150 160 100 95 65 100,,,,,,,287 ,,,
b'288 VigorothNormal  440 80 80 80 55 55 90',290 NincadaBug Ground 266 31 45 90 30 30 40,,,,,,,288 ,,,
b'289 SlakingNormal  670 150 160 100 95 65 100',291 NinjaskBug Flying 456 61 90 45 50 50 160,,,,,,,289 ,,,
b'290 NincadaBug Ground 266 31 45 90 30 30 40',292 ShedinjaBug Ghost 236 1 90 45 30 30 40,,,,,,,290 ,,,
b'291 NinjaskBug Flying 456 61 90 45 50 50 160',293 WhismurNormal  240 64 51 23 51 23 28,,,,,,,291 ,,,
b'292 ShedinjaBug Ghost 236 1 90 45 30 30 40',294 LoudredNormal  360 84 71 43 71 43 48,,,,,,,292 ,,,
b'293 WhismurNormal  240 64 51 23 51 23 28',295 ExploudNormal  490 104 91 63 91 73 68,,,,,,,293 ,,,
b'294 LoudredNormal  360 84 71 43 71 43 48',296 MakuhitaFighting  237 72 60 30 20 30 25,,,,,,,294 ,,,
b'295 ExploudNormal  490 104 91 63 91 73 68',297 HariyamaFighting  474 144 120 60 40 60 50,,,,,,,295 ,,,
b'296 MakuhitaFighting  237 72 60 30 20 30 25',298 AzurillNormal Fairy 190 50 20 40 20 40 20,,,,,,,296 ,,,
b'297 HariyamaFighting  474 144 120 60 40 60 50',299 NosepassRock  375 30 45 135 45 90 30,,,,,,,297 ,,,
b'298 AzurillNormal Fairy 190 50 20 40 20 40 20',300 SkittyNormal  260 50 45 45 35 35 50,,,,,,,298 ,,,
b'299 NosepassRock  375 30 45 135 45 90 30',301 DelcattyNormal  400 70 65 65 55 55 90,,,,,,,299 ,,,
b'300 SkittyNormal  260 50 45 45 35 35 50',302 Mega Sableye Dark Ghost 480 50 85 125 85 115 20,,,,,,,300 ,,,
b'301 DelcattyNormal  400 70 65 65 55 55 90',302 SableyeDark Ghost 380 50 75 75 65 65 50,,,,,,,301 ,,,
b'302 Mega Sableye Dark Ghost 480 50 85 125 85 115 20',303 MawileSteel Fairy 380 50 85 85 55 55 50,,,,,,,302 ,,,
b'302 SableyeDark Ghost 380 50 75 75 65 65 50',303 Mega Mawile Steel Fairy 480 50 105 125 55 95 50,,,,,,,302 ,,,
b'303 MawileSteel Fairy 380 50 85 85 55 55 50',304 AronSteel Rock 330 50 70 100 40 40 30,,,,,,,303 ,,,
b'303 Mega Mawile Steel Fairy 480 50 105 125 55 95 50',305 Lairon Steel  Rock 430 60 90 140 50 50 40,,,,,,,303 ,,,
b'304 AronSteel Rock 330 50 70 100 40 40 30',306 AggronSteel Rock 530 70 110 180 60 60 50,,,,,,,304 ,,,
b'305 Lairon Steel  Rock 430 60 90 140 50 50 40',306 Mega Aggron Steel  630 70 140 230 60 80 50,,,,,,,305 ,,,
b'306 AggronSteel Rock 530 70 110 180 60 60 50',307 MedititeFighting Psychic 280 30 40 55 40 55 60,,,,,,,306 ,,,
b'306 Mega Aggron Steel  630 70 140 230 60 80 50',308 MedichamFighting Psychic 410 60 60 75 60 75 80,,,,,,,306 ,,,
b'307 MedititeFighting Psychic 280 30 40 55 40 55 60',308 Mega Medicham Fighting Psychic 510 60 100 85 80 85 100,,,,,,,307 ,,,
b'308 MedichamFighting Psychic 410 60 60 75 60 75 80',309 ElectrikeElectric  295 40 45 40 65 40 65,,,,,,,308 ,,,
b'308 Mega Medicham Fighting Psychic 510 60 100 85 80 85 100',310 ManectricElectric  475 70 75 60 105 60 105,,,,,,,308 ,,,
b'309 ElectrikeElectric  295 40 45 40 65 40 65',310 Mega Manectric Electric  575 70 75 80 135 80 135,,,,,,,309 ,,,
b'310 ManectricElectric  475 70 75 60 105 60 105',311 PlusleElectric  405 60 50 40 85 75 95,,,,,,,310 ,,,
b'310 Mega Manectric Electric  575 70 75 80 135 80 135',312 MinunElectric  405 60 40 50 75 85 95,,,,,,,310 ,,,
b'311 PlusleElectric  405 60 50 40 85 75 95',313 VolbeatBug  430 65 73 75 47 85 85,,,,,,,311 ,,,
b'312 MinunElectric  405 60 40 50 75 85 95',314 IllumiseBug  430 65 47 75 73 85 85,,,,,,,312 ,,,
b'313 VolbeatBug  430 65 73 75 47 85 85',315 RoseliaGrass Poison 400 50 60 45 100 80 65,,,,,,,313 ,,,
